ZIP,city,state_id,state_name,MSA_Name,UHII
1569,Uxbridge,MA,Massachusetts,"Worcester, MA",-0.285140469007251
1570,Webster,MA,Massachusetts,"Worcester, MA",0.804304732966608
1571,Dudley,MA,Massachusetts,"Worcester, MA",0.0432375390674224
1581,Westborough,MA,Massachusetts,"Worcester, MA",1.12965132419201
1583,West Boylston,MA,Massachusetts,"Worcester, MA",-0.430353369867443
1588,Whitinsville,MA,Massachusetts,"Worcester, MA",0.0920530528929013
1590,Sutton,MA,Massachusetts,"Worcester, MA",-0.162606521354719
1602,Worcester,MA,Massachusetts,"Worcester, MA",2.5125495169433
1603,Worcester,MA,Massachusetts,"Worcester, MA",4.52040883899427
1604,Worcester,MA,Massachusetts,"Worcester, MA",6.60038662582074
1605,Worcester,MA,Massachusetts,"Worcester, MA",5.20990395514351
1606,Worcester,MA,Massachusetts,"Worcester, MA",4.37393941138132
1607,Worcester,MA,Massachusetts,"Worcester, MA",6.55353593365203
1608,Worcester,MA,Massachusetts,"Worcester, MA",8.05998057199644
1609,Worcester,MA,Massachusetts,"Worcester, MA",4.90081070605867
1610,Worcester,MA,Massachusetts,"Worcester, MA",8.35619521062811
1611,Cherry Valley,MA,Massachusetts,"Worcester, MA",-1.23138340021943
1612,Paxton,MA,Massachusetts,"Worcester, MA",-2.72640238904663
1701,Framingham,MA,Massachusetts,,1.59517618017293
1702,Framingham,MA,Massachusetts,,3.5433375879342
1718,Acton,MA,Massachusetts,,-0.580351395
1719,Boxborough,MA,Massachusetts,,-1.28920511349893
1720,Acton,MA,Massachusetts,,-0.068142496473827
1721,Ashland,MA,Massachusetts,,0.264437075985958
1730,Bedford,MA,Massachusetts,,0.974661508495032
1731,Hanscom Afb,MA,Massachusetts,,3.82661050232165
1740,Bolton,MA,Massachusetts,"Worcester, MA",-1.027539707
1741,Carlisle,MA,Massachusetts,,-1.33980196003726
1742,Concord,MA,Massachusetts,,0.0911018886761045
1745,Fayville,MA,Massachusetts,"Worcester, MA",-1.242834742
1746,Holliston,MA,Massachusetts,,-0.411571181020548
1747,Hopedale,MA,Massachusetts,"Worcester, MA",1.0430243646144
1748,Hopkinton,MA,Massachusetts,,-1.28028553145546
1749,Hudson,MA,Massachusetts,,1.11860323093853
1752,Marlborough,MA,Massachusetts,,1.0961680048614
1754,Maynard,MA,Massachusetts,,1.40974403506945
1756,Mendon,MA,Massachusetts,"Worcester, MA",-0.94847836102685
1757,Milford,MA,Massachusetts,"Worcester, MA",1.7371642369935
1760,Natick,MA,Massachusetts,,2.55654857015205
1770,Sherborn,MA,Massachusetts,,-0.737226668610141
1772,Southborough,MA,Massachusetts,"Worcester, MA",-0.72677361135649
1773,Lincoln,MA,Massachusetts,,-0.933225266090926
1775,Stow,MA,Massachusetts,,-1.08070890397145
1776,Sudbury,MA,Massachusetts,,-0.580034019177023
1778,Wayland,MA,Massachusetts,,-0.336525690123953
1801,Woburn,MA,Massachusetts,,4.76499704625507
1803,Burlington,MA,Massachusetts,,3.11050228657022
1810,Andover,MA,Massachusetts,,1.06313211413462
1821,Billerica,MA,Massachusetts,,2.12777933629955
1824,Chelmsford,MA,Massachusetts,,2.30861408304708
1826,Dracut,MA,Massachusetts,,0.951761940926917
1827,Dunstable,MA,Massachusetts,,-1.001587539
1830,Haverhill,MA,Massachusetts,,2.01074229307394
1832,Haverhill,MA,Massachusetts,,2.60402282963199
1833,Georgetown,MA,Massachusetts,,-0.92095550933843
1834,Groveland,MA,Massachusetts,,-0.543224516
1835,Haverhill,MA,Massachusetts,,2.44130009487356
1840,Lawrence,MA,Massachusetts,,8.49934604647819
1841,Lawrence,MA,Massachusetts,,6.82476962182133
1843,Lawrence,MA,Massachusetts,,6.84034176483364
1844,Methuen,MA,Massachusetts,,2.71713114275178
1845,North Andover,MA,Massachusetts,,1.77942261323179
1850,Lowell,MA,Massachusetts,,5.60372297139144
1851,Lowell,MA,Massachusetts,,7.22483311179485
1852,Lowell,MA,Massachusetts,,6.74973155920819
1854,Lowell,MA,Massachusetts,,5.15193047724914
1860,Merrimac,MA,Massachusetts,,-1.47469752126607
1862,North Billerica,MA,Massachusetts,,1.94859367538732
1863,North Chelmsford,MA,Massachusetts,,1.63056194314269
1864,North Reading,MA,Massachusetts,,0.0377651135831972
1867,Reading,MA,Massachusetts,,2.70537397439737
1876,Tewksbury,MA,Massachusetts,,2.01159099619526
1879,Tyngsboro,MA,Massachusetts,,-0.504139990086012
1880,Wakefield,MA,Massachusetts,,2.99442070519247
1886,Westford,MA,Massachusetts,,-0.78452093778283
1887,Wilmington,MA,Massachusetts,,1.86973302628376
1890,Winchester,MA,Massachusetts,,3.07392387416585
1901,Lynn,MA,Massachusetts,,6.92901567020072
1902,Lynn,MA,Massachusetts,,5.48175252962697
1904,Lynn,MA,Massachusetts,,1.93576769406752
1905,Lynn,MA,Massachusetts,,3.80831440199853
1906,Saugus,MA,Massachusetts,,2.46701809978077
1907,Swampscott,MA,Massachusetts,,2.80626165470549
1908,Nahant,MA,Massachusetts,,-6.041739817
1913,Amesbury,MA,Massachusetts,,-0.140002143862035
1915,Beverly,MA,Massachusetts,,1.44918669960446
1921,Boxford,MA,Massachusetts,,-1.85047693117767
1922,Byfield,MA,Massachusetts,,-0.918552206104667
1923,Danvers,MA,Massachusetts,,2.56535756520723
1929,Essex,MA,Massachusetts,,-1.37165867085285
1930,Gloucester,MA,Massachusetts,,-0.722462825468173
1938,Ipswich,MA,Massachusetts,,-0.209976428754272
1940,Lynnfield,MA,Massachusetts,,0.716267998915885
1944,Manchester,MA,Massachusetts,,-2.625365097
1945,Marblehead,MA,Massachusetts,,-0.369310307527854
1949,Middleton,MA,Massachusetts,,-0.725994828
1950,Newburyport,MA,Massachusetts,,0.802283754321578
1951,Newbury,MA,Massachusetts,,-0.900916763846535
1952,Salisbury,MA,Massachusetts,,-1.21109535053379
1960,Peabody,MA,Massachusetts,,4.077089016779
1965,Prides Crossing,MA,Massachusetts,,-1.226973517
1966,Rockport,MA,Massachusetts,,-4.18520067208031
1969,Rowley,MA,Massachusetts,,-0.820506896
1970,Salem,MA,Massachusetts,,3.19023905284373
1982,South Hamilton,MA,Massachusetts,,-1.05479795344795
1983,Topsfield,MA,Massachusetts,,-0.736864303173018
1984,Wenham,MA,Massachusetts,,-1.23216597411727
1985,West Newbury,MA,Massachusetts,,-1.5776743411654
2019,Bellingham,MA,Massachusetts,,0.0988187861995421
2021,Canton,MA,Massachusetts,,1.74006939065032
2025,Cohasset,MA,Massachusetts,,-1.683181929
2026,Dedham,MA,Massachusetts,,3.88089185095414
2030,Dover,MA,Massachusetts,,-0.835262874073206
2032,East Walpole,MA,Massachusetts,,3.19272476936336
2035,Foxboro,MA,Massachusetts,,0.496849580786589
2038,Franklin,MA,Massachusetts,,0.857668494455298
2043,Hingham,MA,Massachusetts,,-0.171601133318845
2045,Hull,MA,Massachusetts,,-5.23425934784524
2047,Humarock,MA,Massachusetts,,-1.417003852
2048,Mansfield,MA,Massachusetts,"Providence-Warwick, RI-MA",1.66230194093912
2050,Marshfield,MA,Massachusetts,,-1.59629078344101
2052,Medfield,MA,Massachusetts,,-0.134134862246148
2053,Medway,MA,Massachusetts,,0.212584074466315
2054,Millis,MA,Massachusetts,,0.0793670586135249
2056,Norfolk,MA,Massachusetts,,-0.319711477968872
2061,Norwell,MA,Massachusetts,,-1.30386125462404
2062,Norwood,MA,Massachusetts,,4.68154288268366
2066,Scituate,MA,Massachusetts,,-1.62331646621096
2067,Sharon,MA,Massachusetts,,-0.315145613212172
2071,South Walpole,MA,Massachusetts,,1.236946835
2072,Stoughton,MA,Massachusetts,,2.6516649980466
2081,Walpole,MA,Massachusetts,,0.893858121191582
2090,Westwood,MA,Massachusetts,,1.7473025025695
2093,Wrentham,MA,Massachusetts,,-0.138136418618628
2108,Boston,MA,Massachusetts,,5.68068039662926
2109,Boston,MA,Massachusetts,,5.05215618548315
2110,Boston,MA,Massachusetts,,5.02724598797825
2111,Boston,MA,Massachusetts,,5.30482463199775
2113,Boston,MA,Massachusetts,,5.10362852295672
2114,Boston,MA,Massachusetts,,6.13592997256274
2115,Boston,MA,Massachusetts,,6.75769893836556
2116,Boston,MA,Massachusetts,,5.51712530152691
2118,Boston,MA,Massachusetts,,7.33364512734906
2119,Roxbury,MA,Massachusetts,,8.68650774385042
2120,Roxbury Crossing,MA,Massachusetts,,8.67919480265176
2121,Dorchester,MA,Massachusetts,,7.52392641816034
2122,Dorchester,MA,Massachusetts,,6.35187938580015
2124,Dorchester Center,MA,Massachusetts,,7.25697432370957
